column,field_group,definition,unit,formal_predictor,predictor_scope,used_for_grouping_or_lineage,used_for_fixed_alpha_calibration,used_for_evaluation_scope,boundary_note
chamber,identity_and_experimental_unit,"Identifier used to trace the animal, chamber, period, or experimental unit.",dimensionless or categorical,yes,eligible in one or more locked confirmation branches,yes,no,no,
pig,identity_and_experimental_unit,"Identifier used to trace the animal, chamber, period, or experimental unit.",dimensionless or categorical,no,not a formal predictor,yes,yes,yes,
animal_id,identity_and_experimental_unit,"Identifier used to trace the animal, chamber, period, or experimental unit.",dimensionless or categorical,no,not a formal predictor,yes,no,no,
ear_tag,identity_and_experimental_unit,"Identifier used to trace the animal, chamber, period, or experimental unit.",dimensionless or categorical,no,not a formal predictor,yes,no,no,
experimental_unit,identity_and_experimental_unit,"Identifier used to trace the animal, chamber, period, or experimental unit.",dimensionless or categorical,no,not a formal predictor,yes,yes,yes,
legacy_pig,identity_and_experimental_unit,"Identifier used to trace the animal, chamber, period, or experimental unit.",dimensionless or categorical,no,not a formal predictor,yes,no,no,
period,identity_and_experimental_unit,"Identifier used to trace the animal, chamber, period, or experimental unit.",dimensionless or categorical,no,not a formal predictor,yes,no,no,
datetime,time_and_window,Right-aligned timestamp of the 30-min analysis window.,dimensionless or categorical,no,not a formal predictor,no,yes,yes,
weight,body_weight,Time-varying body-weight input retained exactly as used in the locked analysis panel.,kg,yes,eligible in one or more locked confirmation branches,no,no,no,Derived analysis input; not a new weighing at every 30-min window. Source/audit weight fields are retained separately and are not direct predictors.
weight_start,body_weight,Analysis-panel field weight_start.,kg,no,not a formal predictor,no,no,no,
weight_end,body_weight,Analysis-panel field weight_end.,kg,no,not a formal predictor,no,no,no,
adapt_weight_kg,body_weight,Archived source/audit body-weight field (adapt_weight_kg); retained for traceability and not used directly as a formal predictor.,kg,no,not a formal predictor,no,no,no,Audit/source field only; its label must not be interpreted as an additional confirmed public weighing time.
formal_weight_kg,body_weight,Archived source/audit body-weight field (formal_weight_kg); retained for traceability and not used directly as a formal predictor.,kg,no,not a formal predictor,no,no,no,Audit/source field only; its label must not be interpreted as an additional confirmed public weighing time.
prefast_weight_kg,body_weight,Archived source/audit body-weight field (prefast_weight_kg); retained for traceability and not used directly as a formal predictor.,kg,no,not a formal predictor,no,no,no,Audit/source field only; its label must not be interpreted as an additional confirmed public weighing time.
postfast_weight_kg,body_weight,Archived source/audit body-weight field (postfast_weight_kg); retained for traceability and not used directly as a formal predictor.,kg,no,not a formal predictor,no,no,no,Audit/source field only; its label must not be interpreted as an additional confirmed public weighing time.
weight_fraction_phase,body_weight,Analysis-panel field weight_fraction_phase.,fraction,no,not a formal predictor,no,no,no,
weight_anchor_start_kg,body_weight,Analysis-panel field weight_anchor_start_kg.,kg,no,not a formal predictor,no,no,no,
