pig,chamber,period,experimental_unit,timestamp,phase_idx,outer_fold,observed_HP,predicted_HP__Sensor/context base,predicted_HP__+ planned feeding amount,predicted_HP__+ protocol meal timing
pig_01,A1,8,A1_p8,2026-07-12 09:30:00,2,3,56.837659498215,52.25150174253703,51.87148933361088,57.415605832918196
pig_01,A1,8,A1_p8,2026-07-12 10:00:00,2,3,42.642631299710125,45.07815492606411,45.204722239337414,43.741260371635086
pig_01,A1,8,A1_p8,2026-07-12 10:30:00,2,3,38.82517785236907,43.85176755363685,43.936732171836354,43.240980954071304
pig_01,A1,8,A1_p8,2026-07-12 11:00:00,2,3,36.6019086565782,42.84782868301506,43.03532847102734,40.75868276706221
pig_01,A1,8,A1_p8,2026-07-12 11:30:00,2,3,40.52209432916164,44.724100417518706,44.660687557786694,44.10214447737782
pig_01,A1,8,A1_p8,2026-07-12 12:00:00,2,3,37.443075752593266,42.011413818029816,41.86911536725259,41.39749049381032
pig_01,A1,8,A1_p8,2026-07-12 12:30:00,2,3,39.06421497365787,42.6867085297503,42.35687810738669,41.494403788134676
pig_01,A1,8,A1_p8,2026-07-12 13:00:00,2,3,36.40071266825475,42.135104086147265,42.15313292417331,40.6991512265156
pig_01,A1,8,A1_p8,2026-07-12 13:30:00,2,3,36.80431088759764,41.03386173097788,41.0256641255347,40.253207352837755
pig_01,A1,8,A1_p8,2026-07-12 14:00:00,2,3,46.97428188988183,43.24961009718276,43.430737926519456,45.05564827980642
pig_01,A1,8,A1_p8,2026-07-12 14:30:00,2,3,39.07255112481942,44.207258314569046,44.365217551267776,42.15524464425775
pig_01,A1,8,A1_p8,2026-07-12 15:00:00,2,3,44.69786181250292,47.80903726638577,47.77258167213745,50.415530776433364
pig_01,A1,8,A1_p8,2026-07-12 16:00:00,2,3,53.093653177005294,59.40199692621194,58.99062298535249,61.481146468877824
pig_01,A1,8,A1_p8,2026-07-14 16:00:00,4,3,19.77039480110436,23.009379578460415,22.90255301225731,27.406925271449182
pig_01,A1,8,A1_p8,2026-07-14 16:30:00,4,3,36.15420346453211,34.577304831365716,34.475898041489145,35.843512351439074
pig_01,A1,8,A1_p8,2026-07-14 17:00:00,4,3,34.21102144692175,34.089196362360724,34.10245139970873,35.74183450247317
pig_01,A1,8,A1_p8,2026-07-14 17:30:00,4,3,23.41239885468965,25.573237090507355,25.484544754125768,28.993766191386555
