t_rel_s,ecg,hdf_label
0.0,1.1907907500015171,0
0.003,1.1289399497101764,0
0.003,1.062398721557811,0
0.006,0.9958896309085116,0
0.007,0.9421800127636704,0
0.009,0.900431894988083,0
0.012,0.8582287813401814,0
0.014,0.8138025957718054,0
0.016,0.7707747343038572,0
0.017,0.724985263187172,0
0.019,0.68212323168626,0
0.022,0.6455286018179056,0
0.023,0.6056078674676054,0
0.025,0.5646842056713753,0
0.028,0.5300176606972737,0
0.03,0.5011409055688776,0
0.032,0.4746395460766262,0
0.033,0.4520406196648148,0
0.036,0.4354583792899908,0
0.038,0.425001329409945,0
0.039,0.4208555838604381,0
0.041,0.4237659728923757,0
0.043,0.4109694802814471,0
0.044,0.3806051161646986,0
0.047,0.3442079634566696,0
0.049,0.2955478383590716,0
0.051,0.2481640184203179,0
0.052,0.2030495432035226,0
0.055,0.1480446715991048,0
0.056,0.0859785125906705,0
0.059,0.0421397859510953,0
0.06,0.017377040960648,0
0.062,0.001574171199945,0
0.064,0.0014034456271802,0
0.067,-0.0009046873455615,0
0.069,-0.0061747753017935,0
0.071,0.0002442387751911,0
0.072,0.0147085253940866,0
0.075,0.0165292271258349,0
0.076,0.0055737547013919,0
0.078,-0.010739390411983,0
0.08,-0.0376979428931899,0
0.083,-0.0593631855175648,0
0.085,-0.0750337547328943,0
0.087,-0.0971713777296811,0
0.088,-0.1224274213409156,0
0.089,-0.1404376563202497,0
0.092,-0.15169162691937,0
0.094,-0.1588342838363332,0
0.095,-0.1593534350871417,0
0.097,-0.1625457815863346,0
0.099,-0.1687005111256084,0
0.102,-0.1710709210223915,0
0.104,-0.1716218488350871,0
0.105,-0.1739324818171102,0
0.108,-0.1776111067960502,0
0.11,-0.1823317771429424,0
0.111,-0.1889327231781999,0
0.113,-0.193559401248294,0
0.115,-0.1961836042264025,0
0.118,-0.1994436898723304,0
0.119,-0.2025515924794725,0
0.121,-0.2047516219842524,0
0.124,-0.2062559172245572,0
0.126,-0.2068843461168243,0
0.128,-0.2064909570904767,0
0.128,-0.2062596838090774,0
0.131,-0.2061883382773605,0
0.132,-0.2055714928361929,0
0.134,-0.2046609472353893,0
0.136,-0.2029869129204387,0
0.139,-0.2004465043650804,0
0.141,-0.1974469353119187,0
0.143,-0.1938511383840525,0
0.144,-0.1897407956857128,0
0.147,-0.1851557274176923,0
0.148,-0.1799394279707738,0
0.151,-0.174115124712591,0
0.152,-0.1681310096593732,0
0.154,-0.1620043582768729,0
0.156,-0.1555376344555368,0
0.159,-0.1488472501224059,0
0.161,-0.1416452465183831,0
0.163,-0.1339137164675994,0
0.164,-0.1258954715473025,0
0.167,-0.1175298063917262,0
0.168,-0.1105019254345571,0
0.169,-0.10501800908356,0
0.171,-0.1002519229440208,0
0.174,-0.0967065274179463,0
0.176,-0.0934828092781471,0
0.177,-0.0905525887421036,0
0.18,-0.0888319320415008,0
0.182,-0.08816980612796,0
0.184,-0.0872753375919915,0
0.185,-0.0861853917724068,0
0.187,-0.0854544784535504,0
0.19,-0.0847913582190134,0
0.191,-0.0852437453426975,0
0.193,-0.086910745526471,0
0.196,-0.0890553456687873,0
0.198,-0.0919389406532316,0
0.2,-0.093404096305959,0
0.201,-0.0931754800175537,0
0.203,-0.0924846580901253,0
0.206,-0.0907077221622717,0
0.207,-0.0888547409236324,0
0.209,-0.0870069257148999,0
0.211,-0.084498536911104,0
0.212,-0.0815622286829339,0
0.215,-0.078458249303971,0
0.217,-0.0793045842664428,0
0.219,-0.0797378404333867,0
0.22,-0.0817412732152856,0
0.223,-0.082963157034508,0
0.224,-0.0832570098794458,0
0.226,-0.084105693703174,0
0.228,-0.0850093153924618,0
0.23,-0.0855161607902663,0
0.233,-0.0857041824778865,0
0.235,-0.0830314242319711,0
0.236,-0.0827563091261875,0
0.239,-0.0693733237970145,0
0.24,-0.0474895176103418,0
0.243,-0.0327505427810411,0
0.244,-0.0252833225535309,0
0.246,-0.0355328021804881,0
0.248,-0.061748139886146,0
0.251,-0.0843462299898494,0
0.253,-0.1032508963197687,0
0.254,-0.1104050991816704,0
0.256,-0.1048575033090833,0
0.257,-0.0816126342259842,0
0.259,-0.0442183288529167,0
0.262,-0.0223385034871756,0
0.263,-0.0196037892533364,0
0.265,-0.0152070954559762,0
0.267,-0.0113249105245155,0
0.27,-0.0122718308038753,0
0.272,-0.0086050337945852,0
0.273,0.00767092377885,0
0.276,0.0414531990440207,0
0.278,0.0750096815838772,0
0.279,0.1060929558685467,0
0.281,0.1382904002839004,0
0.283,0.1659367316950876,0
0.286,0.2049197099155656,0
0.288,0.2545473107997617,0
0.289,0.3037816530107302,0
0.292,0.3552915605153928,0
0.294,0.3868426477206733,0
0.295,0.3945378569334717,0
0.296,0.3910152755468142,0
0.299,0.369233926278479,0
0.3,0.3476872161244468,0
0.302,0.3381946768013484,0
0.304,0.3465348032623293,0
0.307,0.3897569410809122,0
0.309,0.477759070510726,0
0.311,0.6131599255336145,0
0.312,0.7938798679039761,0
0.315,1.0075003483552163,0
0.316,1.2353882919573778,0
0.319,1.4568211225131815,0
0.32,1.652036868657069,0
0.322,1.801380413779441,0
0.325,1.8904724066671683,0
0.327,1.9132606808704204,0
0.328,1.8724470860343152,0
0.331,1.7680527990390762,0
0.332,1.6128894046874271,0
0.335,1.4087678010193452,0
0.336,1.1322520236108575,0
0.337,0.7855602287387569,0
0.339,0.3851035116101395,0
0.342,-0.0547302503490738,0
0.344,-0.5077087822420238,0
0.345,-0.9388668415742708,0
0.348,-1.3055605324561044,0
0.35,-1.5754324514914115,0
0.351,-1.73386190965477,0
0.353,-1.7757238094786725,0
0.355,-1.7159549376731285,0
0.358,-1.584018186218202,0
0.359,-1.4161227129582714,0
0.361,-1.250118409340963,0
0.364,-1.1157219144747144,0
0.366,-1.0283677831029374,0
0.368,-0.9880917557707172,0
0.369,-0.9817845279472328,0
0.371,-0.989962016648244,0
0.374,-0.993067783390015,0
0.375,-0.9779797448439934,0
0.377,-0.942058167075032,0
0.378,-0.8910874076628695,0
0.381,-0.8358705933265477,0
0.383,-0.7864750037467249,0
0.384,-0.746794873228772,0
0.387,-0.7102192026697215,0
0.388,-0.6683816832709302,0
0.391,-0.6145390243504291,0
0.392,-0.5415487405908601,0
0.394,-0.4587000313579576,0
0.396,-0.3724592723566003,0
0.399,-0.2883117617975757,0
0.401,-0.2214378664819558,0
0.403,-0.1789679752340162,0
0.404,-0.1770735303662941,0
0.407,-0.2368431158788987,0
0.408,-0.3614376746287749,0
0.411,-0.5387711958737821,0
0.412,-0.7224405450125012,0
0.414,-0.831606761080614,0
0.416,-0.7776084361272837,0
0.419,-0.4885109813573228,0
0.42,0.0539162456411679,0
0.422,0.7903000271283216,0
0.424,1.5885658525387456,0
0.425,2.269521447319561,0
0.427,2.6508797747161275,0
0.43,2.594512022781606,0
0.431,2.04235373872876,0
0.433,1.035432203125717,0
0.436,-0.287436099183471,0
0.438,-1.7118380292630406,0
0.44,-2.988215922695746,0
0.441,-3.88407678130546,0
0.444,-4.236241231369926,1
0.446,-3.988223858198726,0
0.447,-3.2009921488662068,0
0.449,-2.0343920310109884,0
0.451,-0.7049095370764492,0
0.454,0.5642906161068013,0
0.456,1.586873391931756,0
0.457,2.2423934984776834,0
0.46,2.486571314765877,0
0.462,2.347600745897549,0
0.463,1.913378098196313,0
0.464,1.3123662078147724,0
0.467,0.6897039232152699,0
0.468,0.1809616914713075,0
0.47,-0.1140137381995453,0
0.473,-0.1524208679013702,0
0.475,0.0432266868856118,0
0.476,0.3930669556764469,0
0.479,0.7837507216593357,0
0.48,1.1043546671210642,0
0.483,1.275681142205964,0
0.484,1.2713461684095129,0
0.486,1.122068778988707,0
0.488,0.8963299007900369,0
0.491,0.6752450508609767,0
0.493,0.524611935706566,0
0.495,0.4741196340161018,0
0.496,0.5132223025341317,0
0.499,0.6038595815317824,0
0.5,0.6978422414307879,0
0.503,0.7541363660160982,0
0.503,0.7539815100956804,0
0.505,0.7014889078797548,0
0.507,0.6179839391284403,0
0.51,0.5330326144837912,0
0.512,0.4636199793669698,0
0.513,0.4218099139646555,0
0.516,0.410332562808138,0
0.518,0.4144649141216894,0
0.519,0.419794956686053,0
0.521,0.4104790327135037,0
0.523,0.3731261305709585,0
0.526,0.3063031108317272,0
0.528,0.2393405168491479,0
0.529,0.1830460125694318,0
0.532,0.1358158128204318,0
0.534,0.1118170032248432,0
0.536,0.1001480136313633,0
0.537,0.099403890985145,0
0.539,0.1186984240499345,0
0.542,0.1495108320203317,0
0.543,0.1585887612456046,0
0.544,0.140143750813347,0
0.547,0.1114648956712474,0
0.549,0.0666899172180297,0
0.551,0.0271103617167263,0
0.552,-0.0038382592101747,0
0.555,-0.0329840487291127,0
0.556,-0.0533628218312455,0
0.559,-0.069922121052153,0
0.56,-0.0858008978475116,0
0.562,-0.1008091394719102,0
0.564,-0.1177861325054636,0
0.567,-0.1287226687783931,0
0.569,-0.1345047361184079,0
0.571,-0.1427378126850595,0
0.572,-0.1475725004532584,0
0.575,-0.1558359260548455,0
0.576,-0.1670705939858192,0
0.578,-0.1774356601349263,0
0.58,-0.1932074608376076,0
0.583,-0.1968446025057118,0
0.585,-0.1890218191113249,0
0.587,-0.1909829793915346,0
0.588,-0.200663790570314,0
0.59,-0.2098115540635592,0
0.592,-0.2171739044056386,0
0.593,-0.2159375850540632,0
0.595,-0.2022752494216426,0
0.598,-0.1977335171170166,0
0.599,-0.2003770202284303,0
0.601,-0.1946932252768568,0
0.604,-0.1887929605408458,0
0.606,-0.1870760068118868,0
0.608,-0.1901771678547696,0
0.609,-0.1970490064578077,0
0.611,-0.205461114647478,0
0.614,-0.2272091153401496,0
0.615,-0.2572083236673574,0
0.617,-0.2820749090228149,0
0.619,-0.3007401408011431,0
0.622,-0.3202020276315523,0
0.624,-0.3418914901743978,0
0.625,-0.3696311357119848,0
0.628,-0.4065459594575045,0
0.628,-0.4399179514577484,0
0.631,-0.4713592797020529,0
0.632,-0.5109786028671802,0
0.634,-0.5526458878234959,0
0.636,-0.5955757446275162,0
0.639,-0.639103190523306,0
0.641,-0.6855158559702047,0
0.643,-0.7341674796647868,0
0.644,-0.7766581262486502,0
0.647,-0.816197879055092,0
0.648,-0.8660898840173427,0
0.651,-0.9271463824531498,0
0.652,-0.9786329968284488,0
0.654,-1.0188152958635237,0
0.656,-1.065405832951079,0
0.659,-1.1089299761655829,0
0.661,-1.130912402510318,0
0.663,-1.1289404819962792,0
0.664,-1.1113703617443254,0
0.667,-1.0720636380134478,0
0.668,-0.9978345921628322,0
0.67,-0.8860599499408285,0
0.671,-0.7347552322733873,0
0.673,-0.5438641394236435,0
0.676,-0.3309374613841662,0
0.678,-0.1045557626899355,0
0.68,0.1305213818835882,0
0.681,0.3590247920345657,0
0.684,0.5642697642585603,0
0.686,0.7340995120645616,0
0.687,0.8647688387265013,0
0.689,0.9514066283074848,0
0.691,0.9899860708407672,0
0.694,0.9864821049829242,0
0.696,0.9527784627425524,0
0.697,0.8991304264642466,0
0.7,0.8404391724808578,0
0.702,0.7876984592174865,0
0.703,0.7353842792509843,0
0.705,0.6872745267873648,0
0.707,0.654797054108444,0
0.71,0.6342699632578404,0
0.711,0.6155981632787972,0
0.712,0.599024630291334,0
0.715,0.5821152292497245,0
0.717,0.5617545708351266,0
0.719,0.540373119167729,0
0.72,0.5157720652185122,0
0.723,0.4918779098895042,0
0.724,0.4683797696608925,0
0.726,0.4406945437344232,0
0.728,0.4091743421457228,0
0.73,0.3866176467701803,0
0.733,0.3732417048321393,0
0.735,0.3627643706600572,0
0.736,0.3582721014713492,0
0.739,0.3517864994196007,0
0.74,0.3424930169478509,0
0.743,0.3367983228290141,0
0.744,0.3327994599604676,0
0.746,0.3262368590134593,0
0.748,0.3173478667171428,0
0.751,0.3067010825296809,0
0.753,0.2932070516189174,0
0.753,0.2806526078108324,0
0.756,0.2689767275132994,0
0.758,0.2552914939773446,0
0.759,0.2402778293102885,0
0.761,0.226794100928215,0
0.763,0.2147093294948863,0
0.766,0.2030469816631925,0
0.767,0.1924656070903528,0
0.769,0.1803590138460552,0
0.772,0.1665543627263535,0
0.774,0.1528590465290363,0
0.776,0.1386591698899273,0
0.777,0.1239362645881079,0
0.779,0.1088377534861666,0
0.782,0.0928938085361891,0
0.783,0.0761067258285594,0
0.785,0.0588668132979432,0
0.788,0.0410904395378068,0
0.79,0.0225593745911171,0
0.792,0.0033131368657216,0
0.793,-0.0137638599778296,0
0.795,-0.0284172922406068,0
0.796,-0.0419965502108274,0
0.799,-0.0536839044520398,0
0.8,-0.0652596495795958,0
0.802,-0.0768077786632223,0
0.804,-0.0867057893780813,0
0.807,-0.0952967553270461,0
0.809,-0.1047834558033534,0
0.811,-0.1151366621251696,0
0.812,-0.1255058351100618,0
0.815,-0.1364209370505507,0
0.816,-0.1461330834627927,0
0.819,-0.1545243930251027,0
0.82,-0.1628916475890845,0
0.822,-0.1708344996925524,0
0.825,-0.17728837085696,0
0.827,-0.1822739811509538,0
0.828,-0.1859925085930898,0
0.831,-0.1881591971433269,0
0.832,-0.1896791636126404,0
0.835,-0.1905405981844096,0
0.836,-0.1900279044380921,0
0.838,-0.1883016890046215,0
0.839,-0.1856484808666386,0
0.841,-0.1819879356064209,0
0.844,-0.1772665646388364,0
0.846,-0.1715208659944041,0
0.848,-0.1643444889657053,0
0.849,-0.1556977113084678,0
0.851,-0.145789551540066,0
0.854,-0.1345064712091588,0
0.855,-0.1261101051580474,0
0.857,-0.1210312067488329,0
0.859,-0.1171703561598384,0
0.862,-0.1157482989935399,0
0.864,-0.1143372854381407,0
0.865,-0.1128140882176722,0
0.868,-0.1134909871391813,0
0.87,-0.1159103070219791,0
0.871,-0.1169055527340742,0
0.873,-0.1165332354035468,0
0.875,-0.1160531898458169,0
0.878,-0.1147173223800456,0
0.878,-0.1150466533397365,0
0.881,-0.1172302923981921,0
0.883,-0.1194244245157757,0
0.884,-0.1222204459268269,0
0.887,-0.1235203991292794,0
0.888,-0.1229367058495926,0
0.891,-0.1219006891201819,0
0.892,-0.1197768617368983,0
0.894,-0.1173692319288544,0
0.896,-0.114782112613857,0
0.899,-0.1110437038420962,0
0.901,-0.106309951029343,0
0.903,-0.1028038764506277,0
0.904,-0.1005752196216772,0
0.907,-0.0986457849657427,0
0.908,-0.0975745080877709,0
0.911,-0.095807400759266,0
0.912,-0.0932309619257887,0
0.914,-0.0910807450603872,0
0.916,-0.0890086456451349,0
0.919,-0.0866007562948945,0
0.92,-0.0839575800114813,0
0.921,-0.0810279562250502,0
0.924,-0.0777317277643152,0
0.926,-0.0746033534470919,0
0.927,-0.0716423901982687,0
0.929,-0.0685192380203748,0
0.931,-0.0653460722898608,0
0.934,-0.061956834480832,0
0.936,-0.058305858476621,0
0.937,-0.0545522962646927,0
0.94,-0.0506450262680744,0
0.942,-0.0465893287094629,0
0.944,-0.0423991697264814,0
0.945,-0.0380276077684713,0
0.947,-0.0334769071688525,0
0.95,-0.0295940956236647,0
0.951,-0.0264551146629792,0
0.953,-0.023662662960826,0
0.956,-0.0214570525136175,0
0.958,-0.0193432297312551,0
0.96,-0.0172992526230253,0
0.961,-0.0157889072702325,0
0.963,-0.0147194929096936,0
0.964,-0.0135240970204982,0
0.967,-0.0122206880087603,0
0.968,-0.0110295665216155,0
0.97,-0.0098202397258461,0
0.973,-0.0090606839383784,0
0.975,-0.0087873170386859,0
0.976,-0.0086669147149385,0
0.979,-0.0088113228659073,0
0.98,-0.008825045904649,0
0.983,-0.0086392916389129,0
0.984,-0.0085264546578878,0
0.986,-0.0083694537798176,0
0.988,-0.0083268190239045,0
0.991,-0.0084213992293507,0
0.993,-0.0084709987789151,0
0.995,-0.0085090147025903,0
0.996,-0.008952775724904,0
0.999,-0.0098141878209205,0
1.0,-0.0109149570166219,0
1.003,-0.0123622168486955,0
1.003,-0.0138684648549875,0
1.006,-0.0154157040072809,0
1.007,-0.0172376522556268,0
1.009,-0.0192723182598091,0
1.012,-0.0218420588432783,0
1.014,-0.0250094840140242,0
1.016,-0.0285826966369265,0
1.017,-0.032665298384256,0
1.019,-0.0371332982337125,0
1.022,-0.0419820287947968,0
1.023,-0.0473723204260721,0
1.025,-0.0532880226812552,0
1.028,-0.0594172446651459,0
1.03,-0.0657636079336169,0
1.032,-0.0724761858226467,0
1.033,-0.0794840864148305,0
1.036,-0.0870252890472003,0
1.038,-0.0951258740489268,0
1.039,-0.1036153899421414,0
1.041,-0.1125547145737685,0
1.043,-0.1182710684031028,0
1.044,-0.1203744753453643,0
1.047,-0.1206319487872513,0
1.049,-0.1179746748238422,0
1.051,-0.1144758225037389,0
1.052,-0.1102173307269194,0
1.055,-0.1031868233941134,0
1.056,-0.0937567425838103,0
1.059,-0.0839445328486633,0
1.06,-0.0736090926586962,0
1.062,-0.0619752760075745,0
1.064,-0.0494663216676332,0
1.067,-0.0344950649041855,0
1.069,-0.0169154218813989,0
1.071,0.0017888515823315,0
1.072,0.0219744510919942,0
1.075,0.0499235348131735,0
1.076,0.0818139010674249,0
1.078,0.119998630599114,0
1.08,0.1643200343229727,0
1.083,0.2029782804564371,0
1.085,0.2405758945610966,0
1.087,0.2923905595168196,0
1.088,0.3592999173305085,0
1.089,0.435713792095348,0
1.092,0.5207700945725491,0
1.094,0.6279871650326854,0
1.095,0.7487401398019984,0
1.097,0.8581609244162774,0
1.099,0.9525261858247605,0
1.102,1.0338960440691611,0
1.104,1.0982588094761176,0
1.105,1.1561841430626454,0
1.108,1.211171593134783,0
1.11,1.2584693232937274,0
1.111,1.3023668680912197,0
1.113,1.322629865691357,0
1.115,1.3184489968470428,0
1.118,1.3023974902914937,0
1.119,1.2698247621972023,0
1.121,1.2346358885707118,0
1.124,1.2047469586436663,0
1.126,1.1794154336629408,0
1.128,1.166769410078894,0
1.128,1.1458779598076243,0
1.131,1.1079619427492833,0
1.132,1.0520138195562727,0
1.134,0.955831929664275,0
1.136,0.8207950875352742,0
1.139,0.6336961841478254,0
1.141,0.3816793168751776,0
1.143,0.0745067433268049,0
1.144,-0.2815093448677719,0
1.147,-0.6622257776209584,0
1.148,-1.0279065506770817,0
1.151,-1.3503990402606196,0
1.152,-1.600820371987669,0
