t_rel_s,AccX,AccY,AccZ
0.092,-0.08,-0.528,0.848
0.192,-0.08,-0.528,0.848
0.292,-0.08,-0.528,0.848
0.392,-0.08,-0.528,0.848
0.492,-0.08,-0.528,0.848
0.592,-0.08,-0.528,0.832
0.692,-0.08,-0.528,0.832
0.792,-0.08,-0.528,0.832
0.892,-0.08,-0.528,0.832
0.992,-0.08,-0.544,0.832
1.092,-0.08,-0.528,0.832
1.192,-0.08,-0.528,0.832
1.292,-0.08,-0.528,0.832
1.392,-0.08,-0.528,0.832
1.492,-0.08,-0.528,0.832
1.592,-0.08,-0.528,0.832
1.692,-0.08,-0.528,0.848
1.792,-0.08,-0.528,0.832
1.892,-0.08,-0.528,0.832
1.992,-0.08,-0.528,0.848
2.092,-0.08,-0.528,0.848
2.192,-0.08,-0.528,0.848
2.292,-0.08,-0.528,0.848
2.392,-0.08,-0.528,0.848
2.492,-0.08,-0.528,0.848
2.592,-0.08,-0.528,0.848
2.692,-0.08,-0.528,0.848
2.792,-0.064,-0.528,0.848
2.892,-0.08,-0.528,0.848
2.992,-0.08,-0.528,0.848
3.092,-0.08,-0.528,0.848
3.192,-0.08,-0.528,0.832
3.292,-0.08,-0.528,0.848
3.392,-0.08,-0.528,0.832
3.492,-0.08,-0.544,0.832
3.592,-0.08,-0.528,0.832
3.692,-0.08,-0.544,0.832
3.792,-0.08,-0.528,0.832
3.892,-0.08,-0.528,0.832
3.992,-0.08,-0.528,0.832
4.092,-0.08,-0.528,0.832
4.192,-0.08,-0.528,0.832
4.292,-0.08,-0.528,0.848
4.392,-0.08,-0.528,0.832
4.492,-0.08,-0.528,0.832
4.592,-0.08,-0.528,0.832
4.692,-0.08,-0.528,0.832
4.792,-0.08,-0.528,0.848
4.892,-0.08,-0.528,0.848
4.992,-0.08,-0.528,0.848
5.092,-0.08,-0.528,0.848
5.192,-0.08,-0.512,0.848
5.292,-0.08,-0.528,0.848
5.392,-0.08,-0.528,0.848
5.492,-0.08,-0.528,0.848
5.592,-0.08,-0.528,0.848
5.692,-0.08,-0.528,0.832
5.792,-0.08,-0.528,0.832
5.892,-0.08,-0.528,0.848
5.992,-0.08,-0.528,0.832
6.092,-0.08,-0.528,0.832
6.192,-0.08,-0.528,0.832
6.292,-0.08,-0.544,0.832
6.392,-0.08,-0.528,0.848
6.492,-0.08,-0.528,0.832
6.592,-0.08,-0.528,0.832
6.692,-0.08,-0.528,0.832
6.792,-0.08,-0.528,0.848
6.892,-0.08,-0.528,0.832
6.992,-0.08,-0.528,0.848
7.092,-0.08,-0.528,0.832
7.192,-0.08,-0.528,0.832
7.292,-0.08,-0.528,0.832
7.392,-0.08,-0.528,0.848
7.492,-0.08,-0.528,0.848
7.592,-0.08,-0.528,0.848
7.692,-0.08,-0.528,0.848
7.792,-0.08,-0.528,0.848
7.892,-0.08,-0.528,0.848
7.992,-0.08,-0.512,0.848
8.092,-0.08,-0.528,0.848
8.192,-0.08,-0.528,0.848
8.292,-0.08,-0.528,0.848
8.392,-0.08,-0.528,0.848
8.492,-0.08,-0.528,0.848
8.592,-0.08,-0.528,0.832
8.692,-0.08,-0.528,0.832
8.792,-0.08,-0.528,0.848
8.892,-0.08,-0.528,0.832
8.992,-0.08,-0.528,0.832
9.092,-0.08,-0.528,0.832
9.192,-0.08,-0.544,0.832
9.292,-0.08,-0.528,0.832
9.392,-0.08,-0.528,0.848
9.492,-0.08,-0.528,0.832
9.592,-0.08,-0.528,0.848
9.692,-0.08,-0.528,0.832
9.792,-0.08,-0.528,0.832
9.892,-0.08,-0.528,0.848
9.992,-0.08,-0.528,0.832
10.092,-0.08,-0.528,0.832
10.192,-0.08,-0.528,0.832
10.292,-0.08,-0.528,0.848
10.392,-0.08,-0.528,0.848
10.492,-0.08,-0.528,0.848
10.592,-0.08,-0.528,0.848
10.692,-0.08,-0.528,0.848
10.792,-0.08,-0.528,0.848
10.892,-0.08,-0.528,0.848
10.992,-0.08,-0.528,0.848
11.092,-0.08,-0.528,0.848
11.192,-0.08,-0.528,0.848
11.292,-0.08,-0.528,0.848
11.392,-0.08,-0.528,0.848
11.492,-0.08,-0.528,0.848
11.592,-0.08,-0.528,0.832
11.692,-0.08,-0.528,0.832
11.792,-0.08,-0.528,0.832
11.892,-0.08,-0.528,0.832
11.992,-0.08,-0.544,0.832
12.092,-0.08,-0.528,0.848
12.192,-0.08,-0.528,0.832
12.292,-0.08,-0.528,0.832
12.392,-0.08,-0.528,0.832
12.492,-0.08,-0.528,0.832
12.592,-0.08,-0.528,0.848
12.692,-0.08,-0.528,0.832
12.792,-0.08,-0.528,0.832
12.892,-0.08,-0.528,0.832
12.992,-0.08,-0.528,0.848
13.092,-0.08,-0.528,0.848
13.192,-0.08,-0.528,0.848
13.292,-0.08,-0.528,0.848
13.392,-0.08,-0.528,0.848
13.492,-0.08,-0.512,0.848
13.592,-0.08,-0.528,0.848
13.692,-0.08,-0.512,0.848
13.792,-0.08,-0.528,0.848
13.892,-0.08,-0.528,0.848
13.992,-0.08,-0.528,0.848
14.092,-0.08,-0.528,0.848
14.192,-0.08,-0.528,0.848
14.292,-0.08,-0.528,0.848
14.392,-0.08,-0.528,0.832
14.492,-0.08,-0.528,0.832
14.592,-0.08,-0.528,0.832
14.692,-0.08,-0.544,0.832
14.792,-0.08,-0.528,0.848
14.892,-0.08,-0.528,0.832
14.992,-0.08,-0.528,0.848
15.092,-0.08,-0.528,0.832
15.192,-0.08,-0.528,0.848
15.292,-0.08,-0.528,0.832
15.392,-0.08,-0.528,0.848
15.492,-0.08,-0.528,0.848
15.592,-0.08,-0.528,0.848
15.692,-0.08,-0.528,0.832
15.792,-0.08,-0.528,0.848
15.892,-0.08,-0.528,0.832
15.992,-0.08,-0.528,0.848
16.092,-0.08,-0.528,0.848
16.192,-0.08,-0.528,0.848
16.292,-0.08,-0.528,0.848
16.392,-0.08,-0.528,0.848
16.492,-0.08,-0.528,0.848
16.592,-0.08,-0.528,0.848
16.692,-0.08,-0.528,0.848
16.792,-0.08,-0.528,0.832
16.892,-0.08,-0.528,0.848
16.992,-0.08,-0.528,0.848
17.092,-0.08,-0.528,0.848
17.192,-0.08,-0.528,0.832
17.292,-0.08,-0.528,0.848
17.392,-0.08,-0.544,0.832
17.492,-0.064,-0.528,0.848
17.592,-0.08,-0.528,0.832
17.692,-0.08,-0.528,0.832
17.792,-0.08,-0.528,0.832
17.892,-0.08,-0.528,0.848
17.992,-0.08,-0.528,0.848
18.092,-0.08,-0.528,0.832
18.192,-0.08,-0.528,0.848
18.292,-0.08,-0.528,0.832
18.392,-0.08,-0.528,0.848
18.492,-0.08,-0.528,0.848
18.592,-0.08,-0.528,0.848
18.692,-0.08,-0.528,0.848
18.792,-0.08,-0.512,0.848
18.892,-0.08,-0.528,0.848
18.992,-0.08,-0.528,0.848
19.092,-0.08,-0.528,0.848
19.192,-0.08,-0.528,0.848
19.292,-0.08,-0.528,0.832
19.392,-0.08,-0.528,0.848
19.492,-0.08,-0.528,0.832
19.592,-0.08,-0.528,0.832
19.692,-0.08,-0.528,0.832
19.792,-0.08,-0.544,0.832
19.892,-0.08,-0.528,0.848
19.992,-0.08,-0.528,0.832
