t_rel_s,source
0.444,cleanlabels
1.244,cleanlabels
2.003,cleanlabels
2.728,cleanlabels
3.507,cleanlabels
4.316,cleanlabels
5.06,cleanlabels
5.776,cleanlabels
6.503,cleanlabels
7.286,cleanlabels
8.041,cleanlabels
8.746,cleanlabels
9.476,cleanlabels
10.288,cleanlabels
11.03,cleanlabels
11.79,cleanlabels
12.578,cleanlabels
13.388,cleanlabels
14.097,cleanlabels
14.827,cleanlabels
15.595,cleanlabels
16.451,cleanlabels
17.206,cleanlabels
17.976,cleanlabels
18.769,cleanlabels
19.491,cleanlabels
0.443359375,pt_refined
1.244140625,pt_refined
2.001953125,pt_refined
2.728515625,pt_refined
3.5078125,pt_refined
4.31640625,pt_refined
5.060546875,pt_refined
5.775390625,pt_refined
6.501953125,pt_refined
7.28515625,pt_refined
8.041015625,pt_refined
8.74609375,pt_refined
9.4765625,pt_refined
10.287109375,pt_refined
11.029296875,pt_refined
11.7890625,pt_refined
12.578125,pt_refined
13.388671875,pt_refined
14.09765625,pt_refined
14.826171875,pt_refined
15.595703125,pt_refined
16.451171875,pt_refined
17.205078125,pt_refined
17.9765625,pt_refined
18.76953125,pt_refined
19.490234375,pt_refined
